,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
10,amgen,bristol myers squibb,0.8529648780822754,abbvie,0.8431269526481628,cummins,0.7936825156211853,intuitive surgical,0.6815516948699951,zoetis,0.6704505681991577,gilead sciences,0.6703104972839355,humana,0.6596357822418213,hilton worldwide holdings,0.6279191970825195,schlumberger,0.603050947189331,edwards lifesciences,0.6003109812736511,eli lilly,0.5911900997161865,chubb ltd,0.5909269452095032,vertex,0.574860692024231,regeneron,0.5725015997886658,motorola solutions,0.5631828308105469,chevron,0.5502023696899414,willis towers watson,0.5437722206115723,metlife,0.5391232967376709,dupont de nemours,0.5313966870307922,biogen,0.5239259600639343,valero,0.5209647417068481,teladoc health,0.520566463470459,kinder morgan,0.5153475999832153,cigna,0.5091264247894287,prudential financial,0.5084453821182251
11,waste management,public service enterprise,0.917505145072937,travelers companies,0.7955137491226196,sempra,0.793450653553009,freeport mcmoran,0.786180317401886,ross stores,0.771124005317688,costar,0.7559612989425659,yum brands,0.7553048133850098,digital realty,0.7549529671669006,msci,0.7528136968612671,roper technologies,0.7506653666496277,eversource,0.7456609606742859,edison,0.7419368028640747,kimberly clark,0.7358318567276001,workday,0.7216171622276306,constellation brands,0.7128605842590332,automatic data processing,0.7109852433204651,ball,0.7096624374389648,bank of,0.7079141139984131,linde,0.7072749733924866,archer daniels midland,0.7069398164749146,allstate,0.6938625574111938,fiserv,0.6891830563545227,marvell technology group ltd,0.6754049062728882,peloton interactive,0.673014760017395,global payments,0.6706675291061401
12,altria,norfolk southern,0.9589901566505432,sysco,0.9404003620147705,exelon,0.9122679233551025,mondelez,0.9060506820678711,autozone,0.9054645299911499,ball,0.8956007957458496,philip morris,0.7734302282333374,pepsico,0.7718019485473633,union pacific,0.7615563273429871,rockwell automation,0.7564160823822021,johnson controls,0.748553991317749,raytheon technologies,0.6953133940696716,roper technologies,0.6816560626029968,workday,0.6810550689697266,home depot,0.6620733737945557,yum brands,0.6577487587928772,carrier global,0.653536319732666,metlife,0.6512423753738403,honeywell,0.6497281193733215,parker hannifin,0.6486706137657166,caterpillar,0.6360328197479248,automatic data processing,0.6341333389282227,general motors,0.6188380718231201,nike,0.6157850027084351,ross stores,0.6125808954238892
13,ametek,amphenol,0.9611140489578247,parker hannifin,0.929855227470398,rockwell automation,0.8910270929336548,otis worldwide,0.8896286487579346,microchip technology,0.8392102718353271,honeywell,0.802270770072937,analog devices,0.7870483994483948,johnson controls,0.7823848724365234,intel corporation,0.7785840630531311,resmed,0.7781612873077393,charter communications,0.7686544060707092,intuit,0.7519798874855042,advanced micro devices,0.7514179348945618,keysight technologies,0.7256562113761902,workday,0.7073016166687012,marvell technology group ltd,0.7062385082244873,docusign,0.705359935760498,motorola solutions,0.7037385702133179,cognizant technology solutions,0.6965761184692383,anthem,0.6931272745132446,electronic arts,0.6915453672409058,skyworks solutions,0.684806227684021,corning,0.684686541557312,coupa software,0.6842280030250549,nike,0.6819008588790894
14,ansys,skyworks solutions,0.9879491329193115,autodesk,0.9838162064552307,corning,0.9807052612304688,electronic arts,0.9795541167259216,cadence design systems,0.9767056107521057,adobe,0.9738173484802246,intuit,0.9738073945045471,synopsys,0.9671897888183594,keysight technologies,0.9633509516716003,maxim integrated products,0.9595263600349426,cognizant technology solutions,0.9570274949073792,lam research,0.9538040161132812,analog devices,0.9488601684570312,microchip technology,0.9384688138961792,xilinx,0.9367726445198059,micron technology,0.9358158707618713,chipotle mexican grill,0.9184747934341431,docusign,0.9089863300323486,intel corporation,0.902654767036438,advanced micro devices,0.8509912490844727,broadcom,0.8019231557846069,marvell technology group ltd,0.7801244258880615,charter communications,0.7701132297515869,roku,0.7484264969825745,united parcel service,0.7382217049598694
15,fedex,general motors,0.7339738607406616,ford motor,0.7064240574836731,schlumberger,0.70620197057724,conocophillips,0.66930091381073,aflac,0.6569938659667969,kinder morgan,0.6406827569007874,simon property,0.6302871704101562,eaton,0.5918142795562744,marriott,0.5808184146881104,exxon mobil,0.5709642171859741,uber technologies,0.5556545257568359,southwest airlines,0.5547525882720947,hilton worldwide holdings,0.5418247580528259,t rowe price,0.5372507572174072,chevron,0.5342633128166199,prologis,0.5334968566894531,lockheed martin,0.5283043384552002,northrop grumman,0.5140420794487,general electric,0.5128391981124878,boeing,0.48799756169319153,boston scientific,0.4879913330078125,clorox,0.477739155292511,colgate palmolive,0.46271049976348877,allstate,0.4625563621520996,square,0.4564759135246277
16,servicenow,okta,0.9597901105880737,twilio,0.9030002951622009,activision blizzard,0.8486391305923462,transdigm,0.7945667505264282,spotify technology,0.7897405624389648,square,0.7892299890518188,automatic data processing,0.7262898683547974,allstate,0.6179138422012329,stryker,0.5915623903274536,ebay,0.5872968435287476,baxter,0.5842272639274597,zimmer biomet holdings,0.5679280757904053,parker hannifin,0.5620101690292358,etsy,0.5485050678253174,workday,0.5426661968231201,chubb ltd,0.5299512147903442,becton dickinson,0.5291065573692322,travelers companies,0.5123645663261414,resmed,0.4913385212421417,otis worldwide,0.49047285318374634,seagen,0.4903489053249359,general motors,0.4902991056442261,teladoc health,0.48231178522109985,ametek,0.4761451482772827,tesla,0.46862250566482544
17,oreilly automotive,prologis,0.9112231731414795,general electric,0.9054911136627197,ringcentral,0.8688939213752747,viacomcbs,0.8181853890419006,eaton,0.8162667751312256,kinder morgan,0.815004289150238,american,0.8144880533218384,walt disney,0.8100542426109314,yum brands,0.8089613914489746,dupont de nemours,0.7977481484413147,hilton worldwide holdings,0.7644182443618774,colgate palmolive,0.7510405778884888,linde,0.7507516741752625,marathon petroleum,0.7496322393417358,t rowe price,0.7463347911834717,kimberly clark,0.7398242354393005,metlife,0.7389075756072998,home depot,0.7385499477386475,aflac,0.7179419994354248,msci,0.7171120643615723,valero,0.713297963142395,archer daniels midland,0.7129225730895996,peloton interactive,0.7121784090995789,general motors,0.7044219970703125,splunk,0.6963316202163696
18,archer daniels midland,viacomcbs,0.9350566267967224,msci,0.9158935546875,paccar,0.9082685708999634,global payments,0.9071592092514038,eversource,0.9017060995101929,kimberly clark,0.885092556476593,vf,0.8748286366462708,linde,0.8671196103096008,prologis,0.8338585495948792,yum brands,0.8278334140777588,digital realty,0.8210161924362183,general electric,0.8133819103240967,walgreen boots alliance,0.8130101561546326,sherwin williams,0.8112455010414124,constellation brands,0.8009722232818604,seagen,0.7888975739479065,ross stores,0.7851861119270325,american,0.7782403230667114,ringcentral,0.7742827534675598,palo alto networks,0.7707122564315796,splunk,0.7649029493331909,fiserv,0.7565565705299377,eaton,0.7535970211029053,crowdstrike holdings,0.7524715662002563,peloton interactive,0.7511968612670898
19,microchip technology,analog devices,0.9821380376815796,intuit,0.9582728743553162,corning,0.9486017227172852,electronic arts,0.9476742148399353,skyworks solutions,0.9471014738082886,keysight technologies,0.9438401460647583,cognizant technology solutions,0.9402883052825928,intel corporation,0.9392123222351074,ansys,0.9384688138961792,xilinx,0.9366060495376587,adobe,0.9293053150177002,chipotle mexican grill,0.9257962703704834,synopsys,0.9218117594718933,autodesk,0.9137500524520874,cadence design systems,0.9088149666786194,maxim integrated products,0.9056574702262878,lam research,0.8954948782920837,charter communications,0.8897517919540405,advanced micro devices,0.8761058449745178,docusign,0.8457757234573364,micron technology,0.8403815031051636,ametek,0.8392102718353271,amphenol,0.8335829377174377,broadcom,0.7986605167388916,united parcel service,0.7951678037643433
20,netflix,alphabet,0.8073707818984985,apple,0.788281261920929,roku,0.6942628622055054,digital realty,0.6853954792022705,facebook,0.6604303121566772,splunk,0.6558672189712524,paychex,0.6458742618560791,oracle,0.6394109725952148,charles schwab,0.6381615400314331,palo alto networks,0.6358860731124878,pinterest,0.6084316968917847,microsoft,0.5727721452713013,seagen,0.5712133049964905,docusign,0.5685127973556519,viacomcbs,0.5682071447372437,archer daniels midland,0.5540418028831482,msci,0.5510215759277344,paccar,0.54445481300354,constellation brands,0.5383390784263611,hp,0.5317324995994568,crowdstrike holdings,0.5315933227539062,corteva,0.5289420485496521,cadence design systems,0.5110275149345398,sherwin williams,0.5080333948135376,ansys,0.5057440400123596
21,morgan stanley,citigroup,0.9454851746559143,goldman sachs,0.9137959480285645,marriott,0.8108653426170349,alexion,0.8036850690841675,conocophillips,0.797406792640686,wells fargo,0.7683241367340088,blackrock,0.7631251811981201,ford motor,0.7465850710868835,international business machines,0.7429277896881104,coca cola,0.6891542673110962,capital one financial,0.6247307658195496,tesla,0.615574836730957,first republic bank,0.6135785579681396,edison,0.6047648191452026,corteva,0.6028106212615967,allstate,0.589669406414032,travelers companies,0.5854854583740234,uber technologies,0.5795878171920776,paypal holdings,0.567564845085144,exxon mobil,0.5579659342765808,american express,0.551629364490509,boston scientific,0.5512057542800903,peloton interactive,0.5484294295310974,dow,0.5444267392158508,t rowe price,0.5433051586151123
22,twitter,pinterest,0.7861623764038086,facebook,0.7673228979110718,splunk,0.707558274269104,digital realty,0.6974967122077942,eversource,0.6769998073577881,charles schwab,0.6684771776199341,microsoft,0.6523846387863159,sherwin williams,0.6085482239723206,walgreen boots alliance,0.5472015142440796,crowdstrike holdings,0.5389522314071655,archer daniels midland,0.5283703804016113,hp,0.5276225209236145,kimberly clark,0.5263427495956421,viacomcbs,0.5169538855552673,vf,0.5159531235694885,linde,0.5077865123748779,bank of,0.4979129433631897,msci,0.49016568064689636,palo alto networks,0.4900559186935425,lululemon athletica,0.4831244945526123,paccar,0.4716789424419403,netflix,0.4643480181694031,first republic bank,0.4361876845359802,american,0.4246360659599304,delta air lines,0.42155057191848755
23,raytheon technologies,honeywell,0.9048844575881958,emerson electric,0.8876116275787354,otis worldwide,0.8191633224487305,parker hannifin,0.7992360591888428,caterpillar,0.7870712280273438,norfolk southern,0.768527626991272,rockwell automation,0.7439112067222595,lockheed martin,0.7334502935409546,johnson controls,0.7267992496490479,amphenol,0.7149984240531921,exelon,0.7115976214408875,northrop grumman,0.7070083618164062,teladoc health,0.7036224007606506,altria,0.6953133940696716,mondelez,0.6857977509498596,nike,0.6726583242416382,sysco,0.6635569334030151,metlife,0.655444324016571,ametek,0.6500107049942017,resmed,0.6395481824874878,cummins,0.6218966245651245,schlumberger,0.611436665058136,autozone,0.5847163796424866,philip morris,0.5845444798469543,carrier global,0.5835356712341309
24,american express,visa,0.8029760718345642,mastercard,0.7906649708747864,capital one financial,0.7586197853088379,coca cola,0.7326000928878784,global payments,0.7251409292221069,first republic bank,0.7159096598625183,citigroup,0.6904048919677734,alexion,0.6555280685424805,travelers companies,0.6456300616264343,goldman sachs,0.6456278562545776,international business machines,0.6448122262954712,blackrock,0.6115553379058838,edison,0.5800414085388184,kimberly clark,0.5679715871810913,comcast,0.5650506019592285,viacomcbs,0.5552607178688049,morgan stanley,0.551629364490509,accenture,0.5506861209869385,archer daniels midland,0.5405969023704529,dow,0.5214114189147949,fiserv,0.5045216679573059,conocophillips,0.48152250051498413,general electric,0.45782992243766785,t rowe price,0.4563590884208679,wells fargo,0.4526912569999695
25,truist financial,costar,0.8432549834251404,ebay,0.810528039932251,alexion,0.7642093300819397,simon property,0.7562338709831238,sempra,0.7414025664329529,public service enterprise,0.721969485282898,linde,0.718295156955719,american,0.7103462219238281,vertex,0.7103269100189209,xcel,0.7097669839859009,peloton interactive,0.7065727114677429,wells fargo,0.6998695135116577,baxter,0.6961550116539001,kimberly clark,0.6946372985839844,prologis,0.6913619041442871,first republic bank,0.6778106689453125,t rowe price,0.6747960448265076,aflac,0.6736710071563721,capital one financial,0.6666001081466675,constellation brands,0.6629880666732788,vf,0.6616780757904053,metlife,0.6551026105880737,becton dickinson,0.6545873880386353,seagen,0.6524567604064941,waste management,0.6449036598205566
26,northrop grumman,lockheed martin,0.903683066368103,raytheon technologies,0.7070083618164062,boeing,0.6882954835891724,emerson electric,0.681350588798523,honeywell,0.6752924919128418,caterpillar,0.6301571130752563,union pacific,0.5946801900863647,dow,0.5872583985328674,general motors,0.5851954221725464,eaton,0.5725762248039246,norfolk southern,0.5681871175765991,workday,0.5556250810623169,walt disney,0.5513116121292114,cisco systems,0.5501967668533325,parker hannifin,0.5406269431114197,altria,0.5395469665527344,resmed,0.5282121300697327,fedex,0.5140420794487,t rowe price,0.4980795681476593,johnson controls,0.4938035011291504,clorox,0.4910389184951782,comcast,0.4855284094810486,autozone,0.48545175790786743,mondelez,0.46665099263191223,aflac,0.4595317244529724
27,pfizer,moderna,0.8414801359176636,mckesson,0.8364017009735107,biogen,0.7733555436134338,cerner,0.739456057548523,prudential financial,0.6197030544281006,abbvie,0.5688740015029907,intuitive surgical,0.5100196599960327,walgreen boots alliance,0.47704416513442993,gilead sciences,0.45396536588668823,lululemon athletica,0.45369595289230347,amgen,0.42515671253204346,illumina,0.41766923666000366,hp,0.4171828031539917,sherwin williams,0.4130138158798218,hilton worldwide holdings,0.4062245190143585,splunk,0.3920467495918274,willis towers watson,0.3835585415363312,edwards lifesciences,0.3798193335533142,bristol myers squibb,0.37663155794143677,linde,0.3748930096626282,abbott laboratories,0.3707510828971863,american electric power,0.3697710335254669,veeva systems,0.36043399572372437,humana,0.3512610197067261,kimberly clark,0.3480761647224426
28,visa,mastercard,0.9103004932403564,american express,0.8029760718345642,global payments,0.7574067115783691,fiserv,0.7302359342575073,autozone,0.6299933791160583,ross stores,0.5872999429702759,union pacific,0.5727341771125793,accenture,0.5481597781181335,capital one financial,0.5446404218673706,freeport mcmoran,0.530077338218689,clorox,0.5220946669578552,archer daniels midland,0.5158417224884033,coca cola,0.5140130519866943,comcast,0.5121463537216187,walt disney,0.49571266770362854,travelers companies,0.4899977743625641,first republic bank,0.48797836899757385,paychex,0.4800608158111572,workday,0.4593595862388611,viacomcbs,0.45775869488716125,edison,0.44713371992111206,crowdstrike holdings,0.44694212079048157,eversource,0.4251823425292969,bank of,0.4228596091270447,intercontinental exchange,0.4216154217720032
29,charles schwab,sherwin williams,0.7626689672470093,digital realty,0.7546041011810303,walgreen boots alliance,0.7287076711654663,kimberly clark,0.7074604034423828,eversource,0.7070165872573853,hp,0.6936270594596863,lululemon athletica,0.6885679960250854,first republic bank,0.6858251094818115,twitter,0.6684771776199341,american,0.6665090918540955,linde,0.6590119004249573,viacomcbs,0.6481754183769226,netflix,0.6381615400314331,splunk,0.6370440721511841,vf,0.6307951211929321,crowdstrike holdings,0.6282910704612732,archer daniels midland,0.6258560419082642,seagen,0.6249180436134338,facebook,0.6238090991973877,capital one financial,0.6206189393997192,paccar,0.6018053293228149,constellation brands,0.5933674573898315,msci,0.5866851806640625,alexion,0.5834065675735474,international business machines,0.56827712059021
30,splunk,pinterest,0.7970333099365234,viacomcbs,0.7824214696884155,sherwin williams,0.7711060643196106,archer daniels midland,0.7649029493331909,msci,0.7414963245391846,linde,0.731023371219635,hp,0.7280073165893555,vf,0.7272741794586182,eversource,0.7216452956199646,paccar,0.7126023769378662,facebook,0.7100794911384583,twitter,0.707558274269104,digital realty,0.7021890878677368,oreilly automotive,0.6963316202163696,palo alto networks,0.6910101175308228,walgreen boots alliance,0.6886690855026245,lululemon athletica,0.6871817111968994,ringcentral,0.6852051019668579,kimberly clark,0.6791566610336304,prologis,0.6666643619537354,american,0.6635030508041382,netflix,0.6558672189712524,general electric,0.6457983255386353,charles schwab,0.6370440721511841,prudential financial,0.6104698777198792
31,illumina,thermo fisher scientific,0.956451952457428,agilent technologies,0.9540461301803589,danaher,0.9522691965103149,willis towers watson,0.9488468170166016,edwards lifesciences,0.9450932741165161,abbott laboratories,0.944121241569519,intuitive surgical,0.9262232780456543,dexcom,0.8893693089485168,veeva systems,0.8849132061004639,medtronic,0.8050254583358765,costco wholesale,0.7821385860443115,zimmer biomet holdings,0.7325164675712585,stryker,0.6871551871299744,baxter,0.665730357170105,cerner,0.6449957489967346,biogen,0.6394616961479187,xcel,0.6149104833602905,prudential financial,0.6082710027694702,vertex,0.5994348526000977,becton dickinson,0.5858721733093262,chubb ltd,0.5738238096237183,abbvie,0.5557436347007751,lululemon athletica,0.5452860593795776,humana,0.5274626016616821,bristol myers squibb,0.5128529071807861
32,dexcom,willis towers watson,0.9542151689529419,edwards lifesciences,0.9451413154602051,danaher,0.9324314594268799,zimmer biomet holdings,0.915823221206665,medtronic,0.9101256132125854,abbott laboratories,0.8977183103561401,illumina,0.8893692493438721,baxter,0.8845784068107605,intuitive surgical,0.8804633021354675,stryker,0.8801470994949341,agilent technologies,0.8508525490760803,costco wholesale,0.8444603085517883,becton dickinson,0.8131232261657715,thermo fisher scientific,0.8075735569000244,vertex,0.798743724822998,veeva systems,0.7640256881713867,xcel,0.7322760820388794,chubb ltd,0.726101279258728,teladoc health,0.64849853515625,cummins,0.6457802057266235,zoetis,0.6409315466880798,ebay,0.6376345157623291,bristol myers squibb,0.6257414221763611,truist financial,0.6217184066772461,abbvie,0.5997403860092163
33,general motors,schlumberger,0.8529938459396362,eaton,0.8452458381652832,aflac,0.8337562084197998,simon property,0.8298244476318359,prologis,0.8141663074493408,colgate palmolive,0.7788411378860474,automatic data processing,0.772727370262146,t rowe price,0.7606186866760254,general electric,0.7592614889144897,workday,0.7565978169441223,kinder morgan,0.7446131110191345,metlife,0.7432178854942322,fedex,0.7339738607406616,allstate,0.7319002151489258,yum brands,0.7213806509971619,valero,0.7142829298973083,progressive,0.7139006853103638,ringcentral,0.7089786529541016,oreilly automotive,0.7044219970703125,dupont de nemours,0.7037166953086853,paccar,0.6961040496826172,parker hannifin,0.6889112591743469,peloton interactive,0.6838293075561523,linde,0.6705725789070129,sempra,0.6583499908447266
34,constellation brands,seagen,0.9160717129707336,progressive,0.8879567384719849,msci,0.8789581656455994,sempra,0.8687981367111206,eversource,0.8457465767860413,paccar,0.8294893503189087,linde,0.8275883197784424,archer daniels midland,0.8009722828865051,hp,0.7981265783309937,yum brands,0.796626091003418,allstate,0.7778307199478149,vf,0.7763674259185791,kimberly clark,0.7743164300918579,marvell technology group ltd,0.7677102088928223,aflac,0.7568159103393555,peloton interactive,0.7564307451248169,ringcentral,0.7458863854408264,docusign,0.7456839084625244,workday,0.7442949414253235,travelers companies,0.7361307144165039,roku,0.7336636781692505,digital realty,0.7326867580413818,lululemon athletica,0.7296254634857178,viacomcbs,0.728561282157898,nike,0.7222772836685181
35,fiserv,freeport mcmoran,0.8197140097618103,global payments,0.8034717440605164,ross stores,0.7892292737960815,eversource,0.7589511871337891,archer daniels midland,0.7565565705299377,workday,0.7456157207489014,visa,0.7302359342575073,bank of,0.7213411331176758,crowdstrike holdings,0.6974834203720093,mastercard,0.6952900886535645,paychex,0.6930229663848877,waste management,0.6891829967498779,paccar,0.6681991815567017,vf,0.65155029296875,digital realty,0.6442102193832397,msci,0.6222906112670898,palo alto networks,0.6200436353683472,autozone,0.6075481176376343,viacomcbs,0.596781313419342,walgreen boots alliance,0.5772665739059448,travelers companies,0.5629253387451172,sherwin williams,0.562417209148407,kimberly clark,0.546294629573822,constellation brands,0.5418984889984131,pinterest,0.5406895875930786
